1;2;3;000.027.159.999-4;Fazenda Piratininga Ii;3.292,4000;SÃO MIGUEL DO ARAGUAIA;GO;-;Processada
1;2;3;926.019.006.157-9;Fazenda Rio Verde;73.954,9000;ARAGUAÇU;TO;-;Processada
1;2;3;929.018.004.618-7;Fazenda Santa Luzia;38.382,6669;ARUANÃ;GO;-;Processada
A;B;C;000.027.159.999-4;Fazenda Piratininga Ii;3.292,4000;SÃO MIGUEL DO ARAGUAIA;GO;-;Processada
A;B;C;926.019.006.157-9;Fazenda Rio Verde;73.954,9000;ARAGUAÇU;TO;-;Processada
A;B;C;929.018.004.618-7;Fazenda Santa Luzia;38.382,6669;ARUANÃ;GO;-;Processada
